,Name,NameDistrict,DistrictPoint,Point
0,Phường Hòa Hiệp Bắc,Quận Liên Chiểu,-6.0,-46.0
1,Phường Hòa Hiệp Nam,Quận Liên Chiểu,-6.0,-45.0
2,Phường Hòa Khánh Bắc,Quận Liên Chiểu,-6.0,-43.0
3,Phường Hòa Khánh Nam,Quận Liên Chiểu,-6.0,-39.0
4,Phường Hòa Minh,Quận Liên Chiểu,-6.0,-35.0
5,Phường Tam Thuận,Quận Thanh Khê,-4.0,-25.0
6,Phường Thanh Khê Tây,Quận Thanh Khê,-4.0,-34.0
7,Phường Thanh Khê Đông,Quận Thanh Khê,-4.0,-27.0
8,Phường Xuân Hà,Quận Thanh Khê,-4.0,-21.0
9,Phường Tân Chính,Quận Thanh Khê,-4.0,-14.0
10,Phường Chính Gián,Quận Thanh Khê,-4.0,-22.0
11,Phường Vĩnh Trung,Quận Thanh Khê,-4.0,-9.0
12,Phường Thạc Gián,Quận Thanh Khê,-4.0,-17.0
13,Phường An Khê,Quận Thanh Khê,-4.0,-32.0
14,Phường Hòa Khê,Quận Thanh Khê,-4.0,-31.0
15,Phường Thanh Bình,Quận Hải Châu,-2.0,-15.0
16,Phường Thuận Phước,Quận Hải Châu,-2.0,-20.0
17,Phường Thạch Thang,Quận Hải Châu,-2.0,-7.0
18,Phường Hải Châu I,Quận Hải Châu,-2.0,-3.0
19,Phường Hải Châu II,Quận Hải Châu,-2.0,-4.0
20,Phường Phước Ninh,Quận Hải Châu,-2.0,-2.0
21,Phường Hòa Thuận Tây,Quận Hải Châu,-2.0,-24.0
22,Phường Hòa Thuận Đông,Quận Hải Châu,-2.0,-12.0
23,Phường Nam Dương,Quận Hải Châu,-2.0,-5.0
24,Phường Bình Hiên,Quận Hải Châu,-2.0,-11.0
25,Phường Bình Thuận,Quận Hải Châu,-2.0,-13.0
26,Phường Hòa Cường Bắc,Quận Hải Châu,-2.0,-16.0
27,Phường Hòa Cường Nam,Quận Hải Châu,-2.0,-23.0
28,Phường Thọ Quang,Quận Sơn Trà,-1.0,-30.0
29,Phường Nại Hiên Đông,Quận Sơn Trà,-1.0,-33.0
30,Phường Mân Thái,Quận Sơn Trà,-1.0,-18.0
31,Phường An Hải Bắc,Quận Sơn Trà,-1.0,-10.0
32,Phường Phước Mỹ,Quận Sơn Trà,-1.0,-1.0
33,Phường An Hải Tây,Quận Sơn Trà,-1.0,-8.0
34,Phường An Hải Đông,Quận Sơn Trà,-1.0,-19.0
35,Phường Mỹ An,Quận Ngũ Hành Sơn,-3.0,-6.0
36,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,-3.0,-28.0
37,Phường Hòa Quý,Quận Ngũ Hành Sơn,-3.0,-42.0
38,Phường Hòa Hải,Quận Ngũ Hành Sơn,-3.0,-40.0
39,Phường Khuê Trung,Quận Cẩm Lệ,-5.0,-29.0
40,Phường Hòa Phát,Quận Cẩm Lệ,-5.0,-41.0
41,Phường Hòa An,Quận Cẩm Lệ,-5.0,-38.0
42,Phường Hòa Thọ Tây,Quận Cẩm Lệ,-5.0,-47.0
43,Phường Hòa Thọ Đông,Quận Cẩm Lệ,-5.0,-37.0
44,Phường Hòa Xuân,Quận Cẩm Lệ,-5.0,-36.0
45,Xã Hòa Bắc,Huyện Hoà Vang,-7.0,-57.0
46,Xã Hòa Liên,Huyện Hoà Vang,-7.0,-52.0
47,Xã Hòa Ninh,Huyện Hoà Vang,-7.0,-50.0
48,Xã Hòa Sơn,Huyện Hoà Vang,-7.0,-55.0
49,Xã Hòa Nhơn,Huyện Hoà Vang,-7.0,-51.0
50,Xã Hòa Phú,Huyện Hoà Vang,-7.0,-54.0
51,Xã Hòa Phong,Huyện Hoà Vang,-7.0,-49.0
52,Xã Hòa Châu,Huyện Hoà Vang,-7.0,-44.0
53,Xã Hòa Tiến,Huyện Hoà Vang,-7.0,-53.0
54,Xã Hòa Phước,Huyện Hoà Vang,-7.0,-48.0
55,Xã Hòa Khương,Huyện Hoà Vang,-7.0,-56.0
56,Phường Thanh Lộc Đán,Quận Thanh Khê,-4.0,-26.0
